name,platform,release_date,meta_score,user_review,genre,target_age
Sid Meier`s Civilization II,PC,29-Feb-96,94,8.8,Strategy,E
Quake,PC,22-Jun-96,94,8.8,Shooting,M
Diablo,PC,31-Dec-96,94,8.7,RPG,M
Sid Meier`s Gettysburg!,PC,30-Sep-97,92,7.4,Strategy,E
Star Wars Jedi Knight: Dark Forces II,PC,09-Oct-97,91,8.6,Shooting,T
Myth: The Fallen Lords,PC,31-Oct-97,91,8.5,Strategy,M
Grim Fandango,PC,14-Oct-98,94,9.1,RPG,T
Half-Life,PC,19-Nov-98,96,9.1,Shooting,M
Thief: The Dark Project,PC,30-Nov-98,92,9.0,RPG,M
Baldur`s Gate,PC,21-Dec-98,91,8.9,RPG,T
Sid Meier`s Alpha Centauri,PC,12-Feb-99,92,8.8,Strategy,E
System Shock 2,PC,11-Aug-99,92,9.1,Survival,M
Homeworld,PC,31-Aug-99,93,8.8,Strategy,E
FreeSpace 2,PC,30-Sep-99,91,8.7,Strategy,E
Age of Empires II: The Age of Kings,PC,30-Sep-99,92,9.1,Strategy,T
Planescape: Torment,PC,14-Dec-99,91,9.2,RPG,T
The Sims,PC,04-Feb-00,92,7.9,Strategy,T
Baldur`s Gate II: Shadows of Amn,PC,24-Sep-00,95,9.1,RPG,T
NHL 2001,PC,28-Sep-00,90,6.5,Sports,E
Tony Hawk`s Pro Skater 2,PC,25-Oct-00,91,8.5,Sports,T
The Operative: No One Lives Forever,PC,11-Nov-00,91,8.7,Shooting,M
The Longest Journey,PC,16-Nov-00,91,8.7,Visual Novel,M
Black & White,PC,01-Mar-01,90,7.7,Strategy,T
IL-2 Sturmovik,PC,18-Nov-01,91,8.7,Strategy,T
Medal of Honor: Allied Assault,PC,20-Jan-02,91,8.5,Shooting,T
Grand Theft Auto III,PC,20-May-02,93,8.2,RPG,M
Neverwinter Nights,PC,16-Jun-02,91,8.2,RPG,T
Warcraft III: Reign of Chaos,PC,03-Jul-02,92,9.2,Strategy,T
No One Lives Forever 2: A Spy in H.A.R.M.`s Way,PC,30-Sep-02,91,8.6,RPG,M
Tom Clancy`s Splinter Cell,PC,19-Feb-03,91,8.5,RPG,T
Grand Theft Auto: Vice City,PC,12-May-03,94,8.8,RPG,M
F1 Challenge `99-`02,PC,24-Jun-03,91,7.6,Action,E
Madden NFL 2004,PC,12-Aug-03,91,7.1,Sports,E
Call of Duty,PC,29-Oct-03,91,8.4,Shooting,T
Star Wars: Knights of the Old Republic,PC,18-Nov-03,93,9.0,RPG,T
Unreal Tournament 2004,PC,16-Mar-04,93,8.8,Shooting,M
World Sports Winning Eleven 7 International,PC,09-Apr-04,92,6.9,Sports,E
The Sims 2,PC,14-Sep-04,90,8.7,Strategy,T
Rome: Total War,PC,22-Sep-04,92,9.0,Strategy,T
Half-Life 2,PC,16-Nov-04,96,9.2,Shooting,M
