name,platform,release_date,meta_score,user_review,genre,target_age
Sid Meier`s Civilization II,PC,29-Feb-96,94.3,8.8,Strategy,K-A
Quake,PC,22-Jun-96,94.3,8.77,FPS,M
Diablo,PC,31-Dec-96,93.8,8.69,ARPG,M
Sid Meier`s Gettysburg!,PC,30-Sep-97,91.6,7.43,Strategy,K-A
Star Wars Jedi Knight: Dark Forces II,PC,09-Oct-97,90.6,8.61,FPS,T
Myth: The Fallen Lords,PC,31-Oct-97,90.7,8.47,Strategy,M
Grim Fandango,PC,14-Oct-98,94,9.12,Adventure,T
Half-Life,PC,19-Nov-98,95.9,9.05,FPS,M
Thief: The Dark Project,PC,30-Nov-98,92.3,8.95,Adventure,M
Baldur`s Gate,PC,21-Dec-98,91.3,8.88,RPG,T
Sid Meier`s Alpha Centauri,PC,12-Feb-99,92.2,8.82,Strategy,E
System Shock 2,PC,11-Aug-99,91.9,9.14,Survival,M
Homeworld,PC,31-Aug-99,92.6,8.81,RTS,E
FreeSpace 2,PC,30-Sep-99,91.2,8.66,Strategy,E
Age of Empires II: The Age of Kings,PC,30-Sep-99,91.9,9.08,RTS,T
Planescape: Torment,PC,14-Dec-99,91.1,9.17,RPG,T
The Sims,PC,04-Feb-00,91.8,7.89,Simulation,T
Baldur`s Gate II: Shadows of Amn,PC,24-Sep-00,94.5,9.06,RPG,T
NHL 2001,PC,28-Sep-00,90,6.45,Sports,E
Tony Hawk`s Pro Skater 2,PC,25-Oct-00,90.8,8.46,Sports,T
The Operative: No One Lives Forever,PC,11-Nov-00,91.1,8.7,FPS,M
The Longest Journey,PC,16-Nov-00,91.1,8.72,Point and Click,M
IL-2 Sturmovik,PC,18-Nov-01,90.6,8.74,Simulation,T
Medal of Honor: Allied Assault,PC,20-Jan-02,90.5,8.51,FPS,T
Grand Theft Auto III,PC,20-May-02,93.1,8.22,Open World,M
Neverwinter Nights,PC,16-Jun-02,90.6,8.2,RPG,T
Warcraft III: Reign of Chaos,PC,03-Jul-02,91.8,9.24,RTS,T
No One Lives Forever 2: A Spy in H.A.R.M.`s Way,PC,30-Sep-02,91.1,8.59,Adventure,M
Tiger Woods PGA Tour 2003,PC,31-Oct-02,91.6,5.04,Sports,E
Tom Clancy`s Splinter Cell,PC,19-Feb-03,90.7,8.51,Adventure,T
Grand Theft Auto: Vice City,PC,12-May-03,93.6,8.83,Open World,M
F1 Challenge `99-`02,PC,24-Jun-03,91,7.6,Racing,E
Madden NFL 2004,PC,12-Aug-03,91,7.07,Sports,E
Call of Duty,PC,29-Oct-03,90.8,8.44,FPS,T
Star Wars: Knights of the Old Republic,PC,18-Nov-03,92.8,8.95,RPG,T
Unreal Tournament 2004,PC,16-Mar-04,93.5,8.76,FPS,M
World Sports Winning Eleven 7 International,PC,09-Apr-04,91.9,6.9,Sports,E
The Sims 2,PC,14-Sep-04,89.7,8.73,Simulation,T
Tiger Woods PGA Tour 2005,PC,20-Sep-04,91.4,3.8,Sports,E
Rome: Total War,PC,22-Sep-04,92.4,8.98,RTS,T
Half-Life 2,PC,16-Nov-04,96,9.17,FPS,M
World of Warcraft,PC,23-Nov-04,93.3,7.43,RPG,T
Tom Clancy`s Splinter Cell: Chaos Theory,PC,28-Mar-05,92,8.67,Adventure,T
Grand Theft Auto: San Andreas,PC,07-Jun-05,92.8,8.9,Open World,M
Battlefield 2,PC,21-Jun-05,90.5,8.36,FPS,T
Sid Meier`s Civilization IV,PC,25-Oct-05,93.5,8.22,Strategy,E
The Elder Scrolls IV: Oblivion,PC,20-Mar-06,94.3,8.24,RPG,M
Company of Heroes,PC,13-Sep-06,92.7,8.69,RTS,M
World of Warcraft: The Burning Crusade,PC,16-Jan-07,90.8,6.7,RPG,T
Galactic Civilizations II: Dark Avatar,PC,14-Feb-07,91.4,7.83,Strategy,E
The Elder Scrolls IV: Oblivion,PlayStation,20-Mar-07,93.2,8.22,RPG,M
BioShock,PC,21-Aug-07,95.8,8.55,FPS,M
Team Fortress 2,PC,10-Oct-07,92.2,9.02,FPS,M
Portal,PC,10-Oct-07,89.7,9.17,FPS,T
The Orange Box,PC,10-Oct-07,95.5,9.25,FPS,M
Ratchet & Clank Future: Tools of Destruction,PlayStation,23-Oct-07,88.9,8.77,Platformer,E
Call of Duty 4: Modern Warfare,PlayStation,05-Nov-07,94,8.37,FPS,M
Call of Duty 4: Modern Warfare,PC,05-Nov-07,92.4,8.45,FPS,M
Crysis,PC,13-Nov-07,91.3,8.13,FPS,M
Uncharted: Drake`s Fortune,PlayStation,16-Nov-07,87.9,7.89,Adventure,T
Rock Band,PlayStation,20-Nov-07,91.9,8.11,Rhythm,T
The Orange Box,PlayStation,11-Dec-07,88.8,8.27,FPS,M
Burnout Paradise,PlayStation,22-Jan-08,86.7,7.75,Racing,E
Grand Theft Auto IV,PlayStation,29-Apr-08,97.7,7.7,Open World,M
Galactic Civilizations II: Twilight of the Arnor,PC,30-Apr-08,92.1,8.16,Strategy,E
GRID,PlayStation,03-Jun-08,86.7,8.04,Racing,E
Metal Gear Solid 4: Guns of the Patriots,PlayStation,12-Jun-08,94.1,8.76,Adventure,M
Bionic Commando Rearmed,PlayStation,14-Aug-08,86.5,7.95,Platformer,M
NHL 09,PlayStation,09-Sep-08,88,7.77,Sports,E
World of Goo,PC,12-Oct-08,90.5,8.43,Puzzle,E
FIFA Sports 09,PlayStation,13-Oct-08,87.4,7.55,Sports,E
Dead Space,PlayStation,13-Oct-08,87.8,8.81,Survival,M
Rock Band 2,PlayStation,19-Oct-08,91.2,8.01,Rhythm,T
BioShock,PlayStation,21-Oct-08,94.3,8.91,FPS,M
LittleBigPlanet,PlayStation,27-Oct-08,95,6.8,Platformer,E
Fallout 3,PC,28-Oct-08,90.7,7.83,RPG,M
Fallout 3,PlayStation,28-Oct-08,90.3,7.94,RPG,M
World of Warcraft: Wrath of the Lich King,PC,13-Nov-08,90.7,7.86,RPG,T
Super Street Fighter II Turbo HD Remix,PlayStation,25-Nov-08,87,7.58,Fighting,T
Street Fighter IV,PlayStation,17-Feb-09,93.6,7.35,Fighting,T
Killzone 2,PlayStation,27-Feb-09,90.5,8.07,FPS,M
MLB 09: The Show,PlayStation,03-Mar-09,90,8.12,Sports,E
Fight Night Round 4,PlayStation,23-Jun-09,88.3,7.57,Sports,T
BlazBlue: Calamity Trigger,PlayStation,30-Jun-09,87.1,8.49,Fighting,T
Street Fighter IV,PC,01-Jul-09,90.9,7.85,Fighting,T
Wipeout HD Fury,PlayStation,23-Jul-09,88.9,8.24,Racing,E
Batman: Arkham Asylum,PlayStation,25-Aug-09,90.9,8.78,Adventure,T
DiRT 2,PlayStation,08-Sep-09,87.2,8.21,Racing,T
The Beatles: Rock Band,PlayStation,09-Sep-09,88,8.15,Rhythm,T
NHL 10,PlayStation,15-Sep-09,87.9,8.07,Sports,E
Batman: Arkham Asylum,PC,15-Sep-09,91.1,8.63,Adventure,T
Demon`s Souls,PlayStation,06-Oct-09,89.2,8.72,RPG,M
Critter Crunch,PlayStation,08-Oct-09,87.3,7.27,Puzzle,E
Uncharted 2: Among Thieves,PlayStation,13-Oct-09,96.1,8.77,Adventure,T
FIFA Sports 10,PlayStation,20-Oct-09,91.3,7.63,Sports,E
Dragon Age: Origins,PlayStation,03-Nov-09,86.6,8.02,RPG,M
Dragon Age: Origins,PC,03-Nov-09,90.8,8.82,RPG,M
Call of Duty: Modern Warfare 2,PlayStation,10-Nov-09,94.4,6.61,FPS,M
Braid,PlayStation,12-Nov-09,92.8,7.85,Platformer,E
Assassin`s Creed II,PlayStation,17-Nov-09,90.6,8.71,Open World,M
God of War Collection,PlayStation,17-Nov-09,91.5,8.78,Adventure,M
Peggle,PlayStation,19-Nov-09,91.1,7.33,Puzzle,E
Mass Effect 2,PC,26-Jan-10,93.8,8.89,RPG,M
BioShock 2,PlayStation,09-Feb-10,87.7,8.17,FPS,M
Heavy Rain,PlayStation,23-Feb-10,87.5,7.84,Adventure,M
MLB 10: The Show,PlayStation,02-Mar-10,90.6,8.23,Sports,E
Battlefield: Bad Company 2,PlayStation,02-Mar-10,88.2,8.46,FPS,M
God of War III,PlayStation,16-Mar-10,92.5,8.83,Adventure,M
Super Street Fighter IV,PlayStation,27-Apr-10,92.1,7.84,Fighting,T
Red Dead Redemption,PlayStation,18-May-10,95.2,8.91,Open World,M
Monkey Island 2 Special Edition: LeChuck`s Revenge,PlayStation,06-Jul-10,87,8.09,Point and Click,E
